"Context","English","Gibberish","French","Spanish","German","Korean","BrazilianPortuguese","SimplifedChinese","Russian","Italian","Portuguese","Hungarian","Japanese","Norwegian","Polish","Dutch","Romanian","Danish","Czech","Swedish","Ukrainian","Greek","Arabic","Vietnamese","Turkish"
"","Metal Mailbox type 1","","Boîte aux lettres en métal type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1","Metal Mailbox type 1"
"","A beautifull Mailbox !!!","","Une magnifique boîte aux lettres !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!","A beautifull Mailbox !!!"
"","Metal Mailbox type 2","","Boîte aux lettres en métal type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2","Metal Mailbox type 2"
"","Metal Mailbox type 3","","Boîte aux lettres en métal type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3","Metal Mailbox type 3"
"","Letter","","Lettre","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter","Letter"
"","A little paper, with an infinity of possibilites.","","Un petit papier, avec une infinité de possibilités.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites.","A little paper, with an infinity of possibilites."
"","Too much use has made it fragile and unusable","","Une utilisation excessive l'a rendu fragile et inutilisable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable","Too much use has made it fragile and unusable"
"","Write your letter","","Écrivez votre lettre","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter","Write your letter"
"","The {0} start broken {1}%).","","La {0} est cassé de {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%).","The {0} start broken {1}%)."
"","Display (The letter so much fragile to be use)","","Afficher (la lettre est tellement fragile à utiliser)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)","Display (The letter so much fragile to be use)"
"","Letter Item","","Lettre item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item","Letter Item"
"","Right-click to open the letter.","","Clic droit pour ouvrir la lettre.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter.","Right-click to open the letter."
"","Big MailBox","","Grande boîte aux lettres","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox","Big MailBox"
"","The Mailbox where the postman take him work.","","La boîte aux lettres où le postier commence à travailler.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work.","The Mailbox where the postman take him work."
"","Recipient:","","Destinataire :","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:","Recipient:"
"","Message:","","Message :","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:","Message:"
"","Sender:","","Expéditeur :","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:","Sender:"
